,title,company,description,location,jobID,jobType,salary,platform,posting_date
24,GIS Analyst,Maarut Inc,"RoleDescription :
• Theposition provides technical expertise support and advice toprovincial clients in the implementation of Geographic InformationSystem (GIS)solutions.
• Servicesinclude the creation conversion and compilation of datasets rastermaps databases datasets programming and configuration ofinteractive online maps andapps.
• Theincumbent will also provide spatial analysis develop and automatecustombuilt geoprocessing tools and specialized mapping products tosupport business operations throughout theorganization.

Requirements

SkillRequirements / Qualifications :

TheResource must have the following minimum qualifications orexperience :
• Degree / Diplomafrom a University or College in Geographic Information Systems(GIS). Equivalent combination of education experience andtraining.
• Extensiveknowledge of Esri ArcGISPro
• Workingknowledge of Esri ArcGISDesktop
• Extensiveknowledge of Esri ArcGIS Online (e.g. Experience BuilderDashboard)
• Experiencewith Esri mobile suite of tools (Field MapsSurvey123)
• Experiencewith Python scripting forArcGIS
• Experiencewith cartographic standards for digital and papermediums
• Experiencewith data management (e.g.Geodatabase)
• Workingknowledge of Manitoba datums and coordinatesystems
• Experiencewith rasterdata
• ExperiencewithLiDAR
• Knowledgeof metadata elements formatted in ISO191151 : 2014 and191391 : 2019
• Abilityto use Microsoft 365 on its own and with Esriproducts
• Basicinternetskills
• Goodoral and written communication skills as well as interpersonalskills
• Abilityto deal with multiple ongoing projects shifting priorities andtight timelines to meet projectdeadlines

PreferredQualifications orExperience :
• Experiencewith ArcGISEnterprise
• Experiencewith relationaldatabases
• Experiencewith aerialimagery
• Experiencewith UAV or drone software anddata
• Experiencewith Safe Software Feature Manipulation Engine(FME)
• Workingknowledge with Arcade forArcGIS
• Workingknowledge of ArcGISNotebooks

Skill Requirements / Qualifications : The Resource must have thefollowing minimum qualifications or experience : Degree / Diploma froma University or College in Geographic Information Systems (GIS).

Equivalent combination of education, experience, and training.Extensive knowledge of Esri ArcGIS Pro Working knowledge of EsriArcGIS Desktop Extensive knowledge of Esri ArcGIS Online (e.

g.,Experience Builder, Dashboard) Experience with Esri mobile suite oftools (Field Maps, Survey123) Experience with Python scripting forArcGIS Experience with cartographic standards for digital and papermediums Experience with data management (e.

g. Geodatabase) Workingknowledge of Manitoba datums and coordinate systems Experience withraster data Experience with LiDAR Knowledge of metadata elementsformatted in ISO19115-1 : 2014 and 19139-1 : 2019 Ability to useMicrosoft 365 on its own and with Esri products Basic internetskills Good oral and written communication skills, as well as,interpersonal skills Ability to deal with multiple ongoingprojects, shifting priorities and tight timelines to meet projectdeadlines Preferred Qualifications or Experience : Experience withArcGIS Enterprise Experience with relational databases Experiencewith aerial imagery Experience with UAV or drone software and dataExperience with Safe Software Feature Manipulation Engine (FME)Working knowledge with Arcade for ArcGIS Working knowledge ofArcGIS Notebooks","Winnipeg, MB",Fv1Ne9ftA49uJyKBAAAAAA%3D%3D,Full-time,,Talent.com,null
25,Instructor - Data Analyst Advanced Diploma (Global),Robertson College,"Robertson is the School of New Work. Our vision is for everyone to have a good life through a prosperous and fulfilling career. Our mission is to empower our learners with the most relevant training and up-to-date industry insights so that they may find fulfilling and meaningful careers.

At Robertson, motivated students can advance their education at their own schedule. The Robertson team assists both during and after graduation to ensure students have the tools they need to succeed in a new career. Robertson team members are guides for our students on their career paths as they navigate their college and educational experiences during their time at Robertson.

Overview

We are seeking Instructors for our Data Analyst Advanced Diploma Program to guide and prepare students for positions in a variety of areas of data analyst roles in Canada. The Data Analyst Advanced Diploma Program at Robertson prepares students for positions as data analyst in the public and private sector.

Students will learn how to design databases and develop and administer data management solutions across a broad range of private and public sectors. They will learn how to compile and merge data, clean data and use a variety of tools and software to extract information from datasets. Students will develop the skills required to report data findings through data visualizations, reports, dashboards, scorecards, and a variety of other methods. Students will also learn fundamental project management skills to oversee and manage the challenging and often complex data needs of an organization.

The instructor is responsible for delivering course content in a dynamic and engaging manner; implementing and correcting assignments/projects; and actively implementing course curriculum. As an Instructor, you will observe and adhere to all company policies and best practices.

KEY RESPONSIBILITIES
• Share industry-related knowledge, expertise, and passion with the students
• Respond to student inquiries and provide feedback to students in a respectful and timely manner
• Record student attendance and grades
• Teach at the Winnipeg Robertson College campus (synchronous virtual classroom sessions if health protocols require)
• Develop and maintain a supportive learning community
• Provide guidance and support to adult learners
• Deliver course content from the Winnipeg campus as well as using Brightspace/D2L Learning Management System (LMS)
• Deliver instruction that meets program objectives as set out in the curriculum
• Evaluate student performance fairly, promptly and consistently.
• Collaborate with other teams (Student Services and Support, Practicum and Career Services, Academic Department, etc.) to contribute positively to the student experience
• Support the administrative functions of the campus to enhance the student experience
• Act in a manner that upholds the professional expectations and standards of Robertson College
• Evaluate and post grades in a timely manner

QUALIFICATIONS
• Masters Degree or Professional designation required
• Minimum 2 years of working experience in Business field
• Experience delivering training programs for professional and educational purposes is an asset
• Experience with Learning Management Systems (D2L preferred) an asset
• Demonstrates confidence, a positive approach and a strong work ethic
• Ability to plan, organize and prioritize tasks
• Must be dependable, reliable and punctual
• Ability to problem solve and process information
• Team-oriented and adaptable
• Demonstrates multicultural sensitivity and awareness
• Strong written and verbal communication skills
• Proven organizational skills and ability to complete assignments timely and accurately with minimal supervision
• Experience with andrological training and teaching an asset

Job Type: Contract

Location: In person (Winnipeg Campus)

Work Hours: 20 hours/per week (can vary)

Don’t feel like you meet every requirement? We encourage you to apply anyways! Studies have shown that women and people of colour are less likely to apply to jobs unless they meet every single requirement.

WHY WORK WITH US

Education Canada Group (the parent company of Robertson College) is an equal opportunity employer. We celebrate diversity in our inclusive work environment and encourage people from all walks of life to apply. We are committed to fostering an inclusive and diverse environment where everyone feels seen, heard, and valued. We embrace our team's differences and know that diversity in our team is the strength that drives our success. We want you to feel welcomed, energized, challenged, and engaged while having fun. Come and grow with us! If you are someone who loves the highs and lows of doing meaningful work with like-minded team members, we’d like to hear from you! If you would like to request reasonable accommodations for the interview process, please let us know.

As a company we are committed to uplifting indigenous voices, respecting traditional lands, raising awareness and working in collaboration with Indigenous partners in the spirit of reconciliation.

We acknowledge that our campus located in Winnipeg is on Treaty 1 territory, the traditional lands and waters of Anishinaabe [AH - NISH - AH - NAH – BAY], Ininiwak, Anishininiwak, Dakota, and Dene (DEN-EH) peoples, and the National Homeland of the Red River Métis. We acknowledge that our water is sourced from Shoal Lake 40 First Nation located on Treaty 3.

In Alberta, We acknowledge Robertson College is on the traditional territories of the Blackfoot Confederacy (Siksika, Kainai (Gay-aynah), Piikani (Pe-gun-ee)), the Tsuut’ina (soot-tin-a), the Iyarhe (E-a-hey) Nakoda Nations, the Métis Nation (Region 3), and all people who make their homes in the Treaty 7 region of Southern Alberta.

In Edmonton on Treaty 6 territory, a traditional gathering place, traveling route and home for many Indigenous Peoples including the Nehiyawak/Cree, Tsuut’ina, Niitsitapi/Blackfoot, Métis, Nakota Sioux, Haudenosaunee/Iroquois, Dene Suliné, Anishinaabe/Ojibway/Saulteaux, and the Inuk/Inuit.

We thank all applicants, but only those selected for an interview will be contacted","Winnipeg, MB",3NKm7vpRL0smOgpQAAAAAA%3D%3D,Contractor,null,Glassdoor,2024-02-28
26,Sr. Business Data Analyst to work on multiple projects for a Financial client,confidential,"Our client is looking for a Sr. Business Data Analyst to work on multiple projects for a Financial client.

Must Have's:
• 5+ years of experience as a Business Data Analyst
• Strong data management skills
• 3 to 5 years of progressively responsible experience with business intelligence and data-oriented projects
• Demonstrated ability to confirm/understand business needs and translate those needs into the impacts to BI repositories. Data Modeling .
• Experience in User Acceptance Testing

Nice to Have's:
• Working knowledge of SAS data tools (e.g. Data Integration Studio, Data Flux) is an asset.
• University degree in related discipline, preferably in Computing Science is required or equivalence
• Banking/ Financial Experience
• Experience in Management Consulting

Responsibilities :
• Investigates business intelligence and data requirements, problems, and opportunities
• Works with stakeholders to discover, analyze and evaluate data needs to design appropriate solutions
• Assist with detail requirements gathering Prepare business cases, feasibility studies and gap analyses.
• Document data flow through key systems and repositories
• Provides subject matter expertise on core business intelligence services and technology
• Interfacing with data warehouse teams for data translation and storage
• Provide input into the client strategy, plans, and roadmaps for Business Intelligence and analytics; help drive and implement plans; facilitate workshops with senior leaders
• Ensure BI and analytic tools are being used to their fullest potential and efficiency
• Ensure data standards and quality are enforced and maintained
• Provide input into architecture and design for projects; resolve design issues
• Maintain architecture documentation to ensure they are updated and current","Winnipeg, MB",_PVau3pe2CLbQFP5AAAAAA%3D%3D,Temp work,null,Jooble,null
27,Data Mining Processing and Analysising,Viewshunt,"Job Description:
We are currently looking for a skilled individual to join our team as a Data Mining Processing and Analysis Engineer. As an important member of our company, your role will involve conducting extensive research, data mining, processing, and analysis to support our business objectives.
Responsibilities:
- Conduct online research and data mining to gather relevant information
- Process and analyze collected data to identify trends, patterns, and insights
- Classify and categorize data for easy retrieval and analysis

Requirements:
- Bachelor's degree in a related field
- Strong proficiency in computer-related skills and software applications
- Experience in data mining, processing, and analysis
- Excellent problem-solving and analytical skills
- Strong attention to detail and ability to work with large datasets
- Effective communication and presentation skills
Benefits:
Project-based, $1000 per project
Skills:
Computer Skills (Windows), Mac & Windows literate, Proficient in Windows","Winnipeg, MB",YvthC5erMZ98sDdsAAAAAA%3D%3D,Full-time,null,Jooble,2024-03-09
28,Lead Reporting Analyst,Canada Life,"Job Description

The Lead Reporting Analyst, Disability Solutions and Shared Services, will apply their strong technical skills and problem solving ability to provide reports, data and tools for business partners in Group Plan Member Services.

You will use your expertise to collect, extract, manipulate and present data in both traditional and modern reporting methods with a focus on process improvement and data architecture.

Accountabilities :
• Develop and maintain complex end-user spreadsheets, Power BI reports and database application to support head office and filed operations.
• Deliver ad-hoc reports and analyze data using a variety of tools which include MS Access, Excel and Power BI.
• Work with different types of enterprise data sources such as SQL Server, IBM DB2 and Databricks using Structured query language (SQL).
• Develop complex reporting processes to provide insight on business issues to senior leadership.
• Support the production of timely and accurate operational reporting for the claim payment operation (e.g. volumes, service results, etc).
• Work with Group Technology partners to develop new or enhanced data structures and reporting tools. Includes obtaining requirements from business partners, contributing to the design of the data model, and testing to ensure accuracy of data and calculations.

Qualifications and Competencies :
• Education acquired through completion of a post-secondary degree or equivalent with a minimum of two years of work experience.
• Strong technical skills, specifically advanced knowledge of SQL, experience in Excel, MS Access and Power BI.
• Proven analytical and problem-solving skills; experience working with systems development methodology from a business perspective an asset.
• Working knowledge of Visual Basic (VB, VBA), C#, PHP and GIT would be an asset.
• Well-developed organizational skills with an ability to handle and prioritize multiple tasks, and work to deadlines.
• Demonstrated written and verbal communication skills.
• Knowledge of Canada Life systems such as BEN, PAS, EAS and DCT, as well as an understanding of group disability benefits would be an asset.

Be your best at Canada Life- Apply today !

Being a part of Canada Life means you have a voice. This is a place where your unique background, perspectives and talents are valued, and shape our future success.

You can be your best here. You’re part of a diverse and inclusive workplace where your career and well-being are championed.

You’ll have the opportunity to excel in your way, finding new and better ways to deliver exceptional customer and advisor experiences.

Together, as part of a great team, you’ll deliver on our shared purpose to improve the well-being of Canadians. It’s our driving force.

Become part of a strong and successful company that’s trusted by millions of Canadians to do the right thing.

Canada Life serves the financial security needs of more than 13 million people across Canada, with additional operations in Europe and the United States.

As members of the Power Financial Corporation group of companies, we’re one of Canada’s leading insurers with interests in life insurance, health insurance, investment and retirement savings.

We offer a broad portfolio of financial and benefit plan solutions for individuals, families, businesses and organizations.

We are committed to providing an inclusive, accessible environment, where all employees and customers feel valued, respected and supported.

We are dedicated to building a workforce that reflects the diversity of the communities in which we live, and to creating an environment where every employee has the opportunity to reach their potential.

It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process.

All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Canada Life policies.

To request a reasonable accommodation in the application process, contact .

Canada Life would like to thank all applicants, however only those who qualify for an interview will be contacted .

LI-Hybrid","Winnipeg, MB",KBubzkekPMzeAC2_AAAAAA%3D%3D,Full-time,null,Talent.com,null
29,Business Analyst - Power Apps,The Canada Life Assurance Company,"Permanent Full Time

-

As a member of the Contracts & Compensation Support Services Team, the Business Analyst will report to the Manager and will provide problem solving, automations and reporting for the Contracting and Compensation team and business partners.

What you will do
• Participation in corporate projects that may involve system or process changes
• Design, test and implement business requirements for all products lines and distribution channels
• Create, analyze and update policies and procedure documentation including training of department team members
• Recommend solutions and act as a liaison with department and divisional team members
• Work with management and department leaders to identify and prioritize departments for process improvement and streamlining processes
• Develop or revise department business processes, this includes design, validation and developing resource materials
• Provide ad-hoc data analysis, validation, and reporting.
• Perform and support recurring reports, processes, and tasks.
• Developing & executing on acceptance test plans.
• Take initiative, work independently, work as a team, and maintain good attention to detail with multiple priorities.
• Analyze and apply logical reasoning to assess ideas, decisions, and results.

What you will bring
• Post-secondary Degree/Diploma in Business Administration or technology-related field
• 2+ years in a role with business, financial, or data analysis
• Strong analytical, problem solving and decision-making skills
• Self-motivated with the ability to work independently
• Demonstrated experience in business analysis, process analysis and process improvement
• Demonstrated ability to communicate effectively in writing and verbally in person or remotely
• Strong organizational, and time management skills with the ability to handle changing priorities
• Strong applied skills and knowledge in Word, Excel, Access
• Strong working knowledge of Excel, Adobe, Confluence, JIRA, Mainframe, Tableau, Power BI, VBA, and SQL language/tool would be desirable
• Computer science/programming background is an asset

-

The base salary for this position is between $51,800- $86,000 annually. This represents base salary only and does not represent other variable compensation components of our total compensation ( i.e. annual bonus, commission etc). If you are selected to move forward in our recruitment process, your recruiter will be able to discuss additional details of our total rewards program with you

Career opportunities will be open a minimum of 5 business days from the date of posting, closing dates will vary depending on the search activity. All applications received will be reviewed on a rolling basis.

Be your best at Canada Life- Apply today!

Being a part of Canada Life means you have a voice. This is a place where your unique background, perspectives and talents are valued, and shape our future success.

You can be your best here. You’re part of a diverse and inclusive workplace where your career and well-being are championed. You’ll have the opportunity to excel in your way, finding new and better ways to deliver exceptional customer and advisor experiences.

Together, as part of a great team, you’ll deliver on our shared purpose to improve the well-being of Canadians. It’s our driving force. Become part of a strong and successful company that’s trusted by millions of Canadians to do the right thing.

Canada Life serves the financial security needs of more than 13 million people across Canada, with additional operations in Europe and the United States. As members of the Power Financial Corporation group of companies, we’re one of Canada’s leading insurers with interests in life insurance, health insurance, investment and retirement savings. We offer a broad portfolio of financial and benefit plan solutions for individuals, families, businesses and organizations. 

We are committed to providing an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of the communities in which we live, and to creating an environment where every employee has the opportunity to reach their potential. 

It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process. All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Canada Life policies. To request a reasonable accommodation in the application process, contact talentacquisitioncanada@canadalife.com.

Canada Life would like to thank all applicants, however only those who qualify for an interview will be contacted.

#LI-Hybrid","Winnipeg, MB",dVfKCykGLiG4yfXRAAAAAA%3D%3D,Full-time,null,Canada Life Careers,2024-03-10
30,Senior Microsoft Analytics Developer,Pantheon Odyssey Technologies Ltd.,"Our client is looking for a Senior Microsoft Analytics Developer, PowerBI Skill; with experience in requirements gathering, data modelling, and report development to help accomplish the objective of rebuilding Cognos 11.0.13 content in Power BI. This resource will be required for a 6–10-month contract.

As part of an internal team and in consultation with internal staff, experienced resources will be expected to complete the below activities:

· Gather requirements by consulting with the key business users and reverse engineering the existing Cognos content.

· Redesign content if required due to a difference in features offered by Power BI and based on priority business needs.

· Rebuild the relevant Cognos reports and semantic layers in Power BI.

· Test the reports and semantic layers built in Power BI.

· Provide input for project planning.

· Provide appropriate knowledge transfer to internal support staff.

· Contribute to lessons learned.

Requirements

· Must have experience creating and designing complex reports and shared datasets using Power BI (Desktop and Service) as well as using M, DAX and Power Query,

· Must have experience with Star Schema design

· Microsoft Certified: Data Analyst Associate is preferred,

· Cognos Analytics 11.0.13 and Framework Manager experience is preferred,

· Should have experience;

o performing requirements gathering for existing complex reports and dashboards

o reverse engineering reports and data models

o experience with refactoring and redesigning reports and data models

o creating support and maintenance documentation,

o designing, developing and assisting others in the creation of complex data warehouses and cubes.

Job Types: Full-time, Contract
Contract length: 6-10 months

Schedule:
• Monday to Friday

Experience:
• Power BI: 5 years (preferred)
• M,DAX, and Power Query: 5 years (preferred)
• Cognos Analytics 11.0.13: 1 year (preferred)
• Framework Manager: 1 year (preferred)
• Star Schema design: 5 years (preferred)
• complex reports and dashboards: 1 year (preferred)
• reverse engineering reports and data models: 1 year (preferred)
• refactoring and redesigning reports: 1 year (preferred)
• support and maintenance documentation: 1 year (preferred)
• creation of complex data warehouses and cubes: 1 year (preferred)

Licence/Certification:
• Microsoft Certified Data Analyst Associate (preferred)

Work remotely:
• Yes

Application deadline: 2021-11-01","Winnipeg, MB",JDRHPGoqPqPZ9XYZAAAAAA%3D%3D,Full-time,null,Indeed,null
31,Senior Data Engineer,Lumenalta (formerly Clevertech),"Experience Remote done Right. With over 20 years of remote experience, all 500+ staff are 100% remote, and we still grow vibrant relationships and provide exceptional opportunities for career growth while working with stellar clients on ambitious projects.

What we're working on:

Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions and data points. The problems we solve daily are real and require creativity, grit and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. To grasp the scale of problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media or other complex multifactor industries.

This position is 100% remote. Overlap with EST timezone will be required.

Start date: 25th of March

Requirements
• 7+ years experience in a senior developer role using Python; ideally, you have delivered business-critical software to large enterprises
• You are comfortable manipulating large data sets and handling raw SQL
• Experience using technologies such as Databricks and AWS
• E-commerce industry experience preferred
• English fluency, verbal and written
• Personality traits: Professional, problem solver, proactive, passionate, team player.

Why Lumenalta is an amazing place to work at

At Lumenalta, you can expect that you will:
• Be 100% dedicated to one project at a time so that you can innovate and grow.
• Be a part of a team of talented and friendly senior-level developers.
• Work on projects that allow you to use leading tech.

The result? We produce meaningful outcomes for our clients that break barriers in their industries.

The job is 100% Remote; please ensure you have a comfortable office set at your desired work location","Winnipeg, MB",74tYHx2xCcnewTpAAAAAAA%3D%3D,Full-time,null,LinkedIn,2024-03-11
32,Junior Data Engineer,Targeted Talent,"We are looking for an experienced Junior Data Engineer for our client. This is a permanent position that is remote to start with later relocation to Calgary or Winnipeg. Our client is a global enterprise company with a product that you've likely used.

You Have:
• Minimum 2+ years professional working experience as a Data Engineer
• Strong Experience working with SQL and large data sets
• Hands-on experience coding in Python would be a strong asset
• Experience working with Business Intelligence and Data Warehousing
• Experience working with data services on the cloud such as AWS and/or Google Cloud Platform environments
• Experience with REST API's

Perks:
• Competitive Salary
• Individual performance bonus
• Health and dental benefits
• 3 weeks vacation
• Relocation Package
• RSP matching

If this opportunity sounds like something that fits your career path, please apply to this posting; we'd love to talk to you!","Winnipeg, MB",1iDArH-lj8FzSfmJAAAAAA%3D%3D,Full-time,null,ZipRecruiter,null
33,Senior Data Engineer,Wellington-Altus Private Wealth Inc.,"Senior Data Engineer

Location: This position will be located in our Winnipeg, Calgary, or Toronto office.

Our organization:

Founded in 2017, Wellington-Altus Financial Inc. (Wellington-Altus) is the parent company to Wellington-Altus Private Counsel Inc., Wellington-Altus USA Inc., Wellington-Altus Insurance Inc., Wellington-Altus Group Solutions Inc., Wellington-Altus Asset Management Inc., and Wellington-Altus Private Wealth Inc.—the top-rated* wealth advisory company in Canada and one of Canada’s Best Managed Companies. With more than $25 billion in assets under administration and offices across the country, Wellington-Altus identifies with successful, entrepreneurial advisors and portfolio managers and their high-net-worth clients.
• Investment Executive 2023 Brokerage Report Card.

The opportunity:

Reporting to the AVP, Digital Project Engineering and Delivery, the Senior Data Engineer will have a company-wide view of the Data Engineering solutions that they build in this role, and they will consistently think in terms of automating or expanding the results company-wide.

The incumbent will have opportunity to help design and build our data application and infrastructure, while working with emerging technologies and associated AWS cloud services and influencing business intelligence solutions end-to-end: business requirements, workflow instrumentation, data modeling and ETL.

Additionally, the Senior Data Engineer will be an expert at designing, implementing, and operating stable, scalable, low-cost solutions to flow data from production systems into the data lake and into end-user facing applications. The incumbent will understand enterprise information systems, possess a strong business sense, and will lead a team to put these skills into action.

At Wellington-Altus, we’re proud to stand at the forefront of building out multi-platform solutions. The ideal candidate should be highly skilled in all aspects of Mobile solutions, including APIs, security and visualization.

Key responsibilities include:
• Design, Build and Maintain data pipelines.
• Design and maintain data infrastructure and ETL processes based on industry standards and best practices.
• Foster an environment that emphasizes trust, open communication, creative thinking, and cohesive team effort.
• Design architecture and Migrate Microsoft/SQL data systems to AWS cloud.
• Design data models and automate manual processes.
• Maintain AWS data infrastructure.
• Maintain and enforce quality and service standards, analyze and resolve issues, identify trends, and recommend improvements.
• Combine your technical expertise and problem-solving passion to work closely with project teams, turning complex ideas into end-to-end solutions that transform our clients’ business
• Contribute to the design, development and delivery of large-scale data for mobile adoption and transformation projects that delivers business value for clients.
• Conduct technical feasibility assessments and provide project estimates for the design and development of the solution.
• Provide technical inputs to agile processes, such as epic, story and task definition to resolve issues and remove barriers throughout the lifecycle of client engagements.
• Supporting team members in challenging situations (resource / release challenges, cross-team communication).
• Scheduling ad-hoc meetings to solve for disagreements or ambiguities in order to reduce risk of jeopardizing milestones and or artifacts.
• Ease conversations and promote constructive attitude.
• Facilitate and ensure healthy communication between project team members.
• Scheduling and chairing scrum ceremonies.
• Accountable for conducting regular retros and addressing team’s feedback.
• Understanding team strengths and weaknesses in order to improve each phase of the project lifecycle.
• Lead by example.
• Mentor, help and grow junior team members.
• Performing other duties as assigned.

The ideal candidate will possess:
• A bachelor's degree in computer science, information management or equivalent experience in a related filed(s).
• A minimum of 5-7 years' experience with data infrastructure in AWS cloud.
• Prior experience and working knowledge of AWS stack such as S3, DMS, Glue, Lambda.
• Demonstrable experience with one or more of SQL, R, Python, Spark.
• Experience in building logical and physical design of data, relational/non-relational databases such as Snowflake/Redshift.
• Experience with Kafka or AWS Kinesis is preferred.
• Experience handling streaming data.
• Experience in one of Databricks, DBT or CI/CD tools like Git, Jenkins is an asset.
• Knowledge of database systems; static data and real time.
• Advanced troubleshooting skills.
• Knowledge of one or more requirements analysis and problem decomposition techniques.
• Strong understanding of industry standards and standard business capabilities.
• Expert verbal & written communication skills; additionally, expert analytical, problem-solving, and influence skills.
• An expert ability to collaborate and act as part of a team, with a focus on cross-group collaboration.
• Expert data-driven decision-making skills.
• An ability to manage ambiguity.

Conditions of employment:
• Must be legally eligible to work in Canada.
• A background check, satisfactory to the employer, may be required of the successful applicant prior to commencing employment.

Wellington-Altus is strongly committed to equity and diversity within its community and welcomes applications from women, racialized persons, Indigenous peoples, persons with disabilities, and persons of all sexual orientations and genders. All qualified individuals who would contribute to the further diversification of our organization are encouraged to apply.

If you require accommodation for the recruitment process, please let us know at the point of application.

To apply:

Click the Apply For This Job button to submit your resume, cover letter and salary expectations. You will be contacted if you are selected for an interview. More information about working at Wellington-Altus can be found on our website at www.wellington-altus.com","Winnipeg, MB",RHIJ5u85a9A0yrC-AAAAAA%3D%3D,Full-time,null,Indeed,2024-02-29
34,2 - Senior Data Engineer,Targeted Talent,"We are looking for an experienced Senior Data Engineer for our client. This is a permanent position that is remote to start with later relocation to Calgary or Winnipeg. Our client is a global enterprise company with a product that you've likely used.

You Have:
• Minimum 4+ years professional working experience as a Data Engineer
• Strong experience working with both batch and real-time ETL involving large data sets
• Experience mentoring and guiding Junior Data Engineers in previous roles
• Strong Experience working with SQL and large data sets
• Hands-on experience coding in Python would be a strong asset
• Experience working with Business Intelligence and Data Warehousing
• Experience working with data services on the cloud such as AWS and/or Google Cloud Platform environments
• Experience with REST API's

Perks:
• Competitive Salary
• Individual performance bonus
• Health and dental benefits
• 3 weeks vacation
• Relocation Package
• RSP matching

If this opportunity sounds like something that fits your career path, please apply to this posting; we'd love to talk to you","Winnipeg, MB",FlShHDM9aV0QC-gzAAAAAA%3D%3D,Full-time,null,ZipRecruiter,null
35,Senior Data Engineer,Targeted Talent,"We are looking for an experienced Senior Data Engineer for our client. This is a permanent position that is completely remote! Our client is a global enterprise company with a product that you've likely used.

Within this role, you'll have the chance to work on an application that is used by millions of users daily. With your expertise in BI, Data warehousing and big data you'll contribute to the expanding expertise of the team and keep data components current!

You Have:
• Minimum 5+ years professional working experience as a Data Engineer
• Strong experience working with both batch and real-time ETL involving large data sets
• Experience mentoring and guiding Junior Data Engineers in previous roles
• Strong Experience working with SQL and large data sets
• Hands-on experience coding in Python is required
• Experience working with Business Intelligence and Data Warehousing
• Experience working with data services on the cloud such as AWS and/or Google Cloud Platform environments
• Experience with REST API's

Some AWESOME selling points:
• Remote + flexible work schedule
• North of six figures salary + Equity + Health Spending Account (it's competitive)
• Amazing opportunity for career progression to lead
• Amazing mentorship (seriously)
• Plenty of vacay
• RRSP Matching
• Team budget for education for employees

It's a seriously awesome opportunity! If this looks interesting to you, go ahead and click apply :)
• Unfortunately we are only able to consider candidates who either live in Canada, or currently have an active Canadian work visa or citizenship for this role","Winnipeg, MB",MRkMsk6E-2DflPKeAAAAAA%3D%3D,Full-time,null,Career Beacon,2024-02-18
